"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 23 03:45:41 GMT 2025","Sun Feb 23 03:45:41 GMT 2025","374","chromium","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"failed","Sun Feb 23 03:45:54 GMT 2025","Sun Feb 23 03:46:00 GMT 2025","5764","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Feb 23 03:46:51 GMT 2025","Sun Feb 23 03:46:51 GMT 2025","330","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Non-Unique First Name",""
"broken","Sun Feb 23 03:47:49 GMT 2025","Sun Feb 23 03:48:04 GMT 2025","15188","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Sun Feb 23 03:46:53 GMT 2025","Sun Feb 23 03:46:54 GMT 2025","405","firefox","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Feb 23 03:45:41 GMT 2025","Sun Feb 23 03:45:42 GMT 2025","256","chromium","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"failed","Sun Feb 23 03:47:08 GMT 2025","Sun Feb 23 03:47:15 GMT 2025","6429","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Feb 23 03:46:52 GMT 2025","Sun Feb 23 03:46:53 GMT 2025","1234","firefox","navigation.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Feb 23 03:48:06 GMT 2025","Sun Feb 23 03:48:07 GMT 2025","1183","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Non-Unique First Name",""
"broken","Sun Feb 23 03:46:34 GMT 2025","Sun Feb 23 03:46:50 GMT 2025","16018","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
